positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
21.0,19.0,6.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1
9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
9.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0
29.0,22.0,6.0,12.0,6.0,1.0,4.0,4.0,8.0,0.0,0
117.0,85.0,40.0,34.0,50.0,23.0,35.0,31.0,22.0,12.0,0
59.0,38.0,12.0,16.0,20.0,3.0,13.0,14.0,4.0,1.0,0
21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
21.0,19.0,5.0,11.0,3.0,1.0,2.0,1.0,4.0,0.0,0
36.0,18.0,11.0,8.0,15.0,8.0,7.0,11.0,4.0,3.0,0
22.0,16.0,2.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,1
39.0,39.0,10.0,7.0,15.0,3.0,6.0,7.0,0.0,0.0,1
77.0,69.0,29.0,16.0,28.0,8.0,21.0,25.0,1.0,2.0,0
18.0,12.0,3.0,4.0,10.0,8.0,2.0,2.0,1.0,0.0,0
33.0,22.0,10.0,6.0,7.0,2.0,4.0,6.0,2.0,1.0,0
93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
93.0,109.0,20.0,11.0,10.0,3.0,5.0,6.0,10.0,4.0,1
92.0,73.0,27.0,26.0,26.0,10.0,21.0,22.0,6.0,5.0,1
26.0,20.0,8.0,5.0,7.0,2.0,0.0,1.0,3.0,2.0,0
30.0,17.0,12.0,3.0,18.0,10.0,7.0,12.0,2.0,5.0,0
31.0,18.0,7.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,0
35.0,23.0,9.0,7.0,17.0,7.0,6.0,7.0,2.0,1.0,0
285.0,154.0,90.0,73.0,85.0,37.0,24.0,50.0,22.0,17.0,1
72.0,36.0,19.0,12.0,29.0,12.0,11.0,13.0,6.0,8.0,0
16.0,17.0,4.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,0
104.0,88.0,39.0,28.0,36.0,17.0,18.0,21.0,10.0,5.0,0
230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
339.0,223.0,110.0,81.0,155.0,55.0,75.0,104.0,63.0,33.0,1
49.0,45.0,14.0,7.0,8.0,3.0,3.0,5.0,2.0,0.0,0
230.0,118.0,56.0,37.0,84.0,26.0,43.0,62.0,21.0,21.0,1
12.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,0
14.0,5.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0
16.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0
28.0,18.0,10.0,8.0,7.0,4.0,2.0,4.0,0.0,2.0,0
23.0,16.0,3.0,4.0,5.0,0.0,3.0,0.0,3.0,0.0,1
20.0,13.0,5.0,4.0,6.0,3.0,3.0,4.0,4.0,1.0,0
55.0,45.0,8.0,7.0,12.0,3.0,8.0,13.0,3.0,0.0,0
13.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,0
69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
38.0,25.0,10.0,10.0,3.0,2.0,4.0,5.0,3.0,1.0,0
29.0,28.0,28.0,10.0,1.0,1.0,3.0,4.0,1.0,1.0,0
69.0,42.0,27.0,18.0,29.0,14.0,23.0,23.0,17.0,5.0,0
75.0,72.0,49.0,29.0,13.0,10.0,11.0,17.0,6.0,5.0,0
26.0,16.0,8.0,5.0,4.0,3.0,3.0,5.0,5.0,0.0,0
31.0,27.0,2.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,1
33.0,22.0,9.0,7.0,7.0,1.0,3.0,3.0,1.0,0.0,0
24.0,25.0,8.0,10.0,6.0,5.0,3.0,5.0,3.0,2.0,0
24.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1
636.0,520.0,217.0,349.0,313.0,173.0,185.0,221.0,230.0,128.0,0
39.0,25.0,7.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,0
40.0,33.0,16.0,6.0,11.0,5.0,2.0,5.0,3.0,0.0,1
