,positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
490,36.0,29.0,23.0,8.0,27.0,17.0,11.0,21.0,10.0,5.0,1
491,46.0,39.0,14.0,11.0,22.0,11.0,5.0,12.0,12.0,2.0,0
492,43.0,36.0,13.0,10.0,18.0,9.0,4.0,10.0,11.0,2.0,0
493,8.0,6.0,2.0,2.0,10.0,6.0,1.0,4.0,5.0,2.0,1
494,49.0,41.0,16.0,12.0,24.0,12.0,5.0,13.0,12.0,2.0,0
495,9.0,8.0,2.0,2.0,7.0,5.0,2.0,5.0,6.0,1.0,0
496,14.0,10.0,8.0,7.0,13.0,9.0,9.0,8.0,7.0,1.0,1
497,12.0,7.0,2.0,2.0,9.0,7.0,3.0,7.0,2.0,5.0,0
498,11.0,10.0,6.0,1.0,1.0,0.0,5.0,4.0,2.0,0.0,0
499,75.0,69.0,37.0,11.0,8.0,1.0,16.0,18.0,37.0,2.0,0
500,14.0,10.0,5.0,2.0,10.0,4.0,5.0,5.0,5.0,1.0,1
501,5.0,1.0,1.0,0.0,7.0,3.0,2.0,6.0,2.0,4.0,0
502,17.0,14.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1
503,65.0,61.0,35.0,21.0,45.0,19.0,34.0,40.0,13.0,9.0,1
504,47.0,26.0,18.0,14.0,25.0,13.0,11.0,13.0,14.0,7.0,1
505,53.0,29.0,23.0,21.0,38.0,9.0,22.0,14.0,20.0,7.0,1
506,25.0,23.0,13.0,7.0,15.0,12.0,12.0,8.0,9.0,3.0,1
507,53.0,29.0,23.0,21.0,38.0,9.0,22.0,14.0,20.0,7.0,1
508,25.0,23.0,13.0,7.0,15.0,12.0,12.0,8.0,9.0,3.0,1
509,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
510,17.0,11.0,5.0,2.0,16.0,13.0,8.0,7.0,12.0,2.0,1
511,67.0,44.0,27.0,19.0,38.0,22.0,7.0,13.0,15.0,3.0,1
512,53.0,43.0,15.0,12.0,27.0,13.0,7.0,13.0,18.0,2.0,0
513,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0
514,15.0,8.0,5.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,1
515,7.0,6.0,7.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,0
516,50.0,31.0,18.0,13.0,14.0,8.0,6.0,7.0,13.0,3.0,1
517,104.0,76.0,50.0,36.0,48.0,25.0,25.0,21.0,15.0,10.0,1
518,109.0,89.0,32.0,33.0,39.0,22.0,24.0,22.0,33.0,9.0,1
519,67.0,44.0,27.0,19.0,38.0,22.0,7.0,13.0,15.0,3.0,1
520,53.0,43.0,15.0,12.0,27.0,13.0,7.0,13.0,18.0,2.0,0
521,68.0,46.0,35.0,23.0,46.0,25.0,34.0,35.0,16.0,6.0,1
522,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
523,9.0,7.0,2.0,1.0,4.0,2.0,2.0,3.0,5.0,1.0,0
524,62.0,49.0,22.0,13.0,23.0,18.0,8.0,21.0,3.0,6.0,1
525,10.0,8.0,1.0,1.0,5.0,5.0,2.0,4.0,8.0,1.0,0
526,10.0,9.0,5.0,2.0,13.0,5.0,4.0,4.0,6.0,2.0,1
527,99.0,67.0,52.0,32.0,51.0,35.0,17.0,27.0,25.0,6.0,1
528,15.0,8.0,4.0,3.0,14.0,6.0,7.0,7.0,6.0,6.0,0
529,9.0,11.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,2.0,0
530,171.0,170.0,61.0,36.0,107.0,62.0,52.0,48.0,58.0,29.0,0
531,135.0,93.0,67.0,46.0,66.0,41.0,22.0,32.0,40.0,7.0,1
532,16.0,14.0,5.0,1.0,12.0,7.0,7.0,10.0,5.0,2.0,0
533,39.0,31.0,16.0,6.0,18.0,6.0,4.0,8.0,10.0,2.0,0
534,16.0,12.0,7.0,7.0,8.0,5.0,4.0,7.0,7.0,1.0,1
535,43.0,38.0,14.0,9.0,18.0,10.0,5.0,11.0,11.0,1.0,0
536,40.0,33.0,15.0,12.0,16.0,10.0,8.0,11.0,7.0,3.0,1
537,10.0,8.0,1.0,1.0,5.0,5.0,2.0,4.0,8.0,1.0,0
538,10.0,9.0,5.0,2.0,13.0,5.0,4.0,4.0,6.0,2.0,1
539,37.0,31.0,18.0,10.0,43.0,15.0,7.0,13.0,8.0,3.0,1
540,190.0,128.0,59.0,45.0,112.0,46.0,33.0,59.0,30.0,21.0,1
541,52.0,69.0,30.0,9.0,21.0,7.0,17.0,18.0,21.0,3.0,0
542,36.0,32.0,19.0,14.0,14.0,9.0,6.0,9.0,23.0,2.0,1
543,44.0,28.0,20.0,6.0,12.0,2.0,4.0,9.0,2.0,1.0,1
544,279.0,252.0,88.0,50.0,153.0,74.0,77.0,100.0,99.0,29.0,0
545,45.0,38.0,13.0,9.0,21.0,10.0,6.0,11.0,13.0,2.0,0
546,33.0,13.0,5.0,6.0,4.0,3.0,2.0,2.0,4.0,1.0,1
547,45.0,38.0,13.0,9.0,21.0,10.0,6.0,11.0,13.0,2.0,0
548,33.0,13.0,5.0,6.0,4.0,3.0,2.0,2.0,4.0,1.0,1
549,14.0,12.0,5.0,0.0,7.0,5.0,2.0,5.0,2.0,1.0,1
550,9.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0,0
551,86.0,50.0,30.0,31.0,29.0,17.0,23.0,19.0,12.0,8.0,1
552,86.0,49.0,20.0,15.0,11.0,8.0,10.0,6.0,8.0,3.0,1
553,13.0,8.0,9.0,1.0,14.0,8.0,8.0,13.0,1.0,3.0,0
554,59.0,41.0,18.0,16.0,27.0,17.0,11.0,9.0,33.0,6.0,0
555,30.0,22.0,7.0,6.0,21.0,7.0,7.0,12.0,9.0,5.0,0
556,35.0,27.0,13.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,1
557,17.0,9.0,4.0,2.0,15.0,11.0,4.0,7.0,6.0,3.0,0
558,27.0,18.0,6.0,3.0,17.0,13.0,8.0,12.0,2.0,3.0,0
559,28.0,11.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0
560,38.0,29.0,9.0,10.0,11.0,6.0,4.0,7.0,14.0,4.0,0
